RANK	Card				Plays	Wins	WinRate	WAP
1	ICE CAP MELTING			157	85	54.14	0.157
2	ADVANCED ECOSYSTEMS		787	425	54.0	0.138
3	INSECTS				860	463	53.84	0.08
4	ECOLOGICAL ZONE			1062	563	53.01	0.085
5	INVESTMENT LOAN			1137	597	52.51	0.114
6	INDENTURED WORKERS		921	477	51.79	0.047
7	HERBIVORES			628	325	51.75	0.066
8	NITROGEN-RICH ASTEROID		937	484	51.65	0.073
9	MANGROVE			628	320	50.96	0.085
10	VIRUS				707	358	50.64	0.085
11	IMPORTED NITROGEN		872	437	50.11	0.094
12	ANTI-GRAVITY TECHNOLOGY		843	422	50.06	0.104
13	LAKE MARINERIS			262	131	50.0	0.146
14	MEDIA ARCHIVES			942	464	49.26	0.096
15	VIRAL ENHANCERS			1160	569	49.05	0.087
16	MEDIA GROUP			1137	556	48.9	0.075
17	LOCAL HEAT TRAPPING		578	282	48.79	0.105
18	DECOMPOSERS			892	434	48.65	0.061
19	KELP FARMING			1038	503	48.46	0.094
20	ARTIFICIAL LAKE			254	123	48.43	0.104
21	HIRED RAIDERS			1073	518	48.28	0.083
22	FLOODING			701	334	47.65	0.074
23	EARTH OFFICE			1047	498	47.56	0.065
24	ALGAE				943	448	47.51	0.068
25	LARGE CONVOY			917	435	47.44	0.117
26	BIRDS				745	353	47.38	0.093
27	NUCLEAR ZONE			1015	480	47.29	0.122
28	MASS CONVERTER			908	429	47.25	0.1
29	SABOTAGE			744	350	47.04	0.061
30	OPTIMAL AEROBRAKING		1011	475	46.98	0.043
31	INTERSTELLAR COLONY SHIP	629	294	46.74	0.145
32	BIG ASTEROID			1006	467	46.42	0.085
33	FISH				782	362	46.29	0.058
34	GIANT ICE ASTEROID		888	411	46.28	0.128
35	MARS UNIVERSITY			1184	545	46.03	0.048
36	SPECIAL DESIGN			189	87	46.03	0.08
37	INVENTION CONTEST		1139	523	45.92	0.065
38	IMPORTED HYDROGEN		1058	484	45.75	0.073
39	CEO				577	262	45.41	0.042
40	PERMAFROST EXTRACTION		291	132	45.36	0.101
41	COMET				910	409	44.95	0.068
42	GREENHOUSES			1159	520	44.87	0.083
43	SMALL ANIMALS			616	276	44.81	0.056
44	BUSINESS CONTACTS		1087	487	44.8	0.057
45	RESTRICTED AREA			1145	510	44.54	0.055
46	AI CENTRAL			907	403	44.43	0.071
47	DEIMOS DOWN			939	416	44.3	0.086
48	BUSINESS NETWORK		816	360	44.12	0.017
49	EARTH CATAPULT			1228	540	43.97	0.098
50	ARCTIC ALGAE			777	341	43.89	0.098
51	MOSS				719	307	42.7	0.044
52	HEATHER				827	352	42.56	0.046
53	TECHNOLOGY DEMONSTRATION	1217	517	42.48	0.041
54	OLYMPUS CONFERENCE		1157	491	42.44	0.032
55	LAND CLAIM			396	168	42.42	0.042
56	TREES				771	327	42.41	0.033
57	TERRAFORMING GANYMEDE		637	270	42.39	0.098
58	DEVELOPMENT CENTER		883	374	42.36	0.04
59	ICE ASTEROID			867	366	42.21	0.077
60	EOS CHASMA NATIONAL PARK	605	255	42.15	0.065
61	MINERAL DEPOSIT			1168	492	42.12	0.055
62	SHUTTLES			802	337	42.02	0.04
63	TOWING A COMET			924	388	41.99	0.06
64	FARMING				606	254	41.91	0.07
65	QUANTUM EXTRACTOR		940	393	41.81	0.048
66	CONVOY FROM EUROPA		991	411	41.47	0.062
67	BUSHES				906	375	41.39	0.0
68	ASTEROID			1000	409	40.9	0.059
69	RESEARCH OUTPOST		1276	520	40.75	0.071
70	WATER IMPORT FROM EUROPA	599	244	40.73	0.085
71	SYMBIOTIC FUNGUS		280	114	40.71	0.091
72	ENERGY TAPPING			457	186	40.7	0.016
73	PLANTATION			858	346	40.33	0.035
74	ANTS				250	99	39.6	0.029
