RANK	Card	Plays	Wins	Win Rate	WAP
1	ICE CAP MELTING	88	49	55.68	0.163
2	MANGROVE	455	230	50.55	0.092
3	PERMAFROST EXTRACTION	225	113	50.22	0.139
4	NITROGEN-RICH ASTEROID	624	310	49.68	0.12
5	SPECIAL DESIGN	136	67	49.26	0.143
6	INSECTS	520	252	48.46	0.077
7	INDENTURED WORKERS	531	256	48.21	0.069
8	OPTIMAL AEROBRAKING	641	309	48.21	0.099
9	ADVANCED ECOSYSTEMS	507	244	48.13	0.103
10	ANTI-GRAVITY TECHNOLOGY	559	268	47.94	0.123
11	KELP FARMING	731	350	47.88	0.112
12	VIRUS	489	232	47.44	0.064
13	IMPORTED NITROGEN	568	269	47.36	0.085
14	EARTH CATAPULT	773	365	47.22	0.162
15	GIANT ICE ASTEROID	609	284	46.63	0.125
16	LAKE MARINERIS	186	86	46.24	0.174
17	MASS CONVERTER	584	269	46.06	0.099
18	ECOLOGICAL ZONE	703	323	45.95	0.032
19	BIRDS	514	233	45.33	0.113
20	ARTIFICIAL LAKE	179	81	45.25	0.147
21	CEO'S FAVOURITE PROJECT	383	173	45.17	0.07
22	HERBIVORES	388	174	44.85	0.09
23	MEDIA GROUP	693	310	44.73	0.086
24	LARGE CONVOY	662	294	44.41	0.077
25	AI CENTRAL	617	274	44.41	0.109
26	INVENTION CONTEST	752	333	44.28	0.079
27	FLOODING	405	179	44.2	0.047
28	EOS CHASMA NATIONAL PARK	482	213	44.19	0.058
29	INTERSTELLAR COLONY SHIP	451	199	44.12	0.116
30	BUSINESS CONTACTS	740	326	44.05	0.062
31	MARS UNIVERSITY	791	348	43.99	0.064
32	IMPORTED HYDROGEN	699	305	43.63	0.039
33	INVESTMENT LOAN	711	307	43.18	0.063
34	MEDIA ARCHIVES	602	259	43.02	0.076
35	ICE ASTEROID	568	243	42.78	0.075
36	BIG ASTEROID	658	281	42.71	0.074
37	FARMING	479	204	42.59	0.074
38	FISH	534	227	42.51	0.06
39	HIRED RAIDERS	650	276	42.46	0.057
40	SABOTAGE	451	191	42.35	0.051
41	ARCTIC ALGAE	459	194	42.27	0.041
42	GREENHOUSES	788	333	42.26	0.073
43	DEIMOS DOWN	649	274	42.22	0.065
44	LAND CLAIM	283	119	42.05	0.086
45	DECOMPOSERS	588	247	42.01	0.036
46	BUSINESS NETWORK	553	231	41.77	0.042
47	TREES	563	235	41.74	0.064
48	HEAT TRAPPERS	209	87	41.63	0.05
